liquor_id,liquor_name,ingredient_id,ingredient_name,ingredient_type,origin_ingredient_id,origin_ingredient_name,origin_type
2837,ginger,1786,curry_leaf,other,2364,fish,seafood
2837,ginger,6159,striped_bass,other,5809,shrimp,seafood
2837,ginger,3125,grouper,other,5809,shrimp,seafood
2837,ginger,6300,swordfish,seafood,5809,shrimp,seafood
2837,ginger,6749,vermouth,other,5809,shrimp,seafood
2837,ginger,1023,catfish,seafood,5809,shrimp,seafood
2860,ginkgo_nut,5809,shrimp,seafood,1023,catfish,seafood
2860,ginkgo_nut,4699,peanut_oil,other,1023,catfish,seafood
2860,ginkgo_nut,6083,squid,seafood,1395,clam,seafood
2860,ginkgo_nut,5668,scallop,other,1395,clam,seafood
2860,ginkgo_nut,5063,prawn,other,1395,clam,seafood
2860,ginkgo_nut,5579,saffron,other,1395,clam,seafood
2860,ginkgo_nut,3597,kombu,other,1395,clam,seafood
2860,ginkgo_nut,1645,crab,other,1395,clam,seafood
2860,ginkgo_nut,4572,oyster,other,1395,clam,seafood
2860,ginkgo_nut,4620,parsley,other,1395,clam,seafood
2860,ginkgo_nut,3899,lobster,other,1395,clam,seafood
2860,ginkgo_nut,2364,fish,seafood,1395,clam,seafood
2860,ginkgo_nut,1395,clam,seafood,2364,fish,seafood
2860,ginkgo_nut,1786,curry_leaf,other,2364,fish,seafood
2860,ginkgo_nut,6159,striped_bass,other,5809,shrimp,seafood
2860,ginkgo_nut,3125,grouper,other,5809,shrimp,seafood
2860,ginkgo_nut,6300,swordfish,seafood,5809,shrimp,seafood
2860,ginkgo_nut,6749,vermouth,other,5809,shrimp,seafood
2860,ginkgo_nut,1023,catfish,seafood,5809,shrimp,seafood
4026,madeira_wine,4527,orange_roughy,other,2793,garlic,pungent
4026,madeira_wine,3920,lovage,other,2793,garlic,pungent
4026,madeira_wine,114,amaranth,other,2793,garlic,pungent
4026,madeira_wine,3125,grouper,other,2793,garlic,pungent
4026,madeira_wine,1023,catfish,seafood,2793,garlic,pungent
4026,madeira_wine,5919,snail,other,2793,garlic,pungent
4026,madeira_wine,6545,turmeric,other,4478,onion,pungent
4026,madeira_wine,5147,purslane,other,4478,onion,pungent
4026,madeira_wine,6326,tamale,other,4478,onion,pungent
4026,madeira_wine,1081,chayote,other,4478,onion,pungent
4026,madeira_wine,6079,squab,other,4478,onion,pungent
4026,madeira_wine,1855,deer,other,4478,onion,pungent
4026,madeira_wine,6212,summer_savory,other,4478,onion,pungent
4026,madeira_wine,6086,squirrel,other,4478,onion,pungent
4026,madeira_wine,1489,conch,other,4478,onion,pungent
4026,madeira_wine,5330,red_rice,other,4478,onion,pungent
4026,madeira_wine,6229,swede,other,4478,onion,pungent
4026,madeira_wine,4821,pigeon_pea,other,4478,onion,pungent
4026,madeira_wine,3562,kelp,other,4478,onion,pungent
4026,madeira_wine,6255,sweet_marjoram,other,4478,onion,pungent
4026,madeira_wine,1018,cassia,other,4478,onion,pungent
4026,madeira_wine,4733,pepper,other,4478,onion,pungent
4702,pear_brandy,5809,shrimp,seafood,1023,catfish,seafood
4702,pear_brandy,4699,peanut_oil,other,1023,catfish,seafood
4702,pear_brandy,6083,squid,seafood,1395,clam,seafood
4702,pear_brandy,5668,scallop,other,1395,clam,seafood
4702,pear_brandy,5063,prawn,other,1395,clam,seafood
4702,pear_brandy,5579,saffron,other,1395,clam,seafood
4702,pear_brandy,3597,kombu,other,1395,clam,seafood
4702,pear_brandy,1645,crab,other,1395,clam,seafood
4702,pear_brandy,4572,oyster,other,1395,clam,seafood
4702,pear_brandy,4620,parsley,other,1395,clam,seafood
4702,pear_brandy,3899,lobster,other,1395,clam,seafood
4702,pear_brandy,2364,fish,seafood,1395,clam,seafood
4702,pear_brandy,1395,clam,seafood,2364,fish,seafood
4702,pear_brandy,1786,curry_leaf,other,2364,fish,seafood
4702,pear_brandy,6159,striped_bass,other,5809,shrimp,seafood
4702,pear_brandy,3125,grouper,other,5809,shrimp,seafood
4702,pear_brandy,6300,swordfish,seafood,5809,shrimp,seafood
4702,pear_brandy,6749,vermouth,other,5809,shrimp,seafood
4702,pear_brandy,1023,catfish,seafood,5809,shrimp,seafood
4930,plum_brandy,5809,shrimp,seafood,1023,catfish,seafood
4930,plum_brandy,4699,peanut_oil,other,1023,catfish,seafood
4930,plum_brandy,6083,squid,seafood,1395,clam,seafood
4930,plum_brandy,5668,scallop,other,1395,clam,seafood
4930,plum_brandy,5063,prawn,other,1395,clam,seafood
4930,plum_brandy,5579,saffron,other,1395,clam,seafood
4930,plum_brandy,3597,kombu,other,1395,clam,seafood
4930,plum_brandy,1645,crab,other,1395,clam,seafood
4930,plum_brandy,4572,oyster,other,1395,clam,seafood
4930,plum_brandy,4620,parsley,other,1395,clam,seafood
4930,plum_brandy,3899,lobster,other,1395,clam,seafood
4930,plum_brandy,2364,fish,seafood,1395,clam,seafood
4930,plum_brandy,1395,clam,seafood,2364,fish,seafood
4930,plum_brandy,1786,curry_leaf,other,2364,fish,seafood
4930,plum_brandy,6159,striped_bass,other,5809,shrimp,seafood
4930,plum_brandy,3125,grouper,other,5809,shrimp,seafood
