liquor_id,liquor_name,ingredient_id,ingredient_name,ingredient_type,origin_ingredient_id,origin_ingredient_name,origin_type
4026,madeira_wine,5759,shallot,other,6300,swordfish,seafood
4937,plum_wine,4469,olive,other,135,anchovy,seafood
4937,plum_wine,966,caper,other,135,anchovy,seafood
4937,plum_wine,6441,tomato,other,556,bluefish,seafood
4937,plum_wine,3840,lime,other,1023,catfish,seafood
4937,plum_wine,5027,potato,other,1023,catfish,seafood
4937,plum_wine,2981,green_bell_pepper,other,1023,catfish,seafood
4937,plum_wine,1576,cooking_oil,other,1023,catfish,seafood
4937,plum_wine,3720,lemon,other,1023,catfish,seafood
4937,plum_wine,2793,garlic,pungent,1023,catfish,seafood
4937,plum_wine,5809,shrimp,seafood,1023,catfish,seafood
4937,plum_wine,4699,peanut_oil,other,1023,catfish,seafood
4937,plum_wine,5759,shallot,other,1023,catfish,seafood
4937,plum_wine,6083,squid,seafood,1395,clam,seafood
4937,plum_wine,5668,scallop,other,1395,clam,seafood
4937,plum_wine,5027,potato,other,1395,clam,seafood
4937,plum_wine,5063,prawn,other,1395,clam,seafood
4937,plum_wine,5579,saffron,other,1395,clam,seafood
4937,plum_wine,3148,haddock,other,1395,clam,seafood
4937,plum_wine,3597,kombu,other,1395,clam,seafood
4937,plum_wine,1645,crab,other,1395,clam,seafood
4937,plum_wine,4572,oyster,other,1395,clam,seafood
4937,plum_wine,4620,parsley,other,1395,clam,seafood
4937,plum_wine,5809,shrimp,seafood,1395,clam,seafood
4937,plum_wine,3899,lobster,other,1395,clam,seafood
4937,plum_wine,2364,fish,seafood,1395,clam,seafood
4937,plum_wine,6787,water,other,1679,crayfish,seafood
4937,plum_wine,3720,lemon,other,1679,crayfish,seafood
4937,plum_wine,781,butter,other,1679,crayfish,seafood
4937,plum_wine,1005,carrot,other,1679,crayfish,seafood
4937,plum_wine,1041,celery,other,1679,crayfish,seafood
4937,plum_wine,4620,parsley,other,1794,cuttlefish,seafood
4937,plum_wine,6083,squid,seafood,2364,fish,seafood
4937,plum_wine,5668,scallop,other,2364,fish,seafood
4937,plum_wine,5063,prawn,other,2364,fish,seafood
4937,plum_wine,5579,saffron,other,2364,fish,seafood
4937,plum_wine,1645,crab,other,2364,fish,seafood
4937,plum_wine,1395,clam,seafood,2364,fish,seafood
4937,plum_wine,1786,curry_leaf,other,2364,fish,seafood
4937,plum_wine,3899,lobster,other,2364,fish,seafood
4937,plum_wine,6083,squid,seafood,5809,shrimp,seafood
