alcohol_id,ingredient_id,label
5016,4096,1
5016,6159,1
5016,4123,1
5016,6172,1
5016,4129,1
5016,4132,1
5016,38,1
5016,50,1
5016,4150,1
5016,57,1
5016,58,1
5016,4153,1
5016,6204,1
5016,61,1
5016,6212,1
5016,71,1
5016,4172,1
5016,77,1
5016,86,1
5016,88,1
5016,4204,1
5016,4092,1
5016,114,1
5016,2164,1
5016,4213,1
5016,2167,1
5016,6266,1
5016,135,1
5016,2188,1
5016,6287,1
5016,145,1
5016,4243,1
5016,148,1
5016,2200,1
5016,2202,1
5016,6299,1
5016,6300,1
5016,158,1
5016,6303,1
5016,2210,1
5016,163,1
5016,4264,1
5016,175,1
5016,2223,1
5016,6326,1
5016,4279,1
5016,2239,1
5016,6337,1
5016,196,1
5016,197,1
5016,4292,1
5016,6349,1
5016,4309,1
5016,213,1
5016,6367,1
5016,223,1
5016,4319,1
5016,6371,1
5016,4324,1
5016,4323,1
5016,4330,1
5016,4343,1
5016,4350,1
5016,2310,1
5016,6409,1
5016,2320,1
5016,273,1
5016,2331,1
5016,2335,1
5016,6434,1
5016,6441,1
5016,300,1
5016,302,1
5016,2364,1
5016,321,1
5016,326,1
5016,328,1
5016,6475,1
5016,6476,1
5016,6477,1
5016,6478,1
5016,336,1
5016,4433,1
5016,4438,1
5016,345,1
5016,6490,1
5016,4444,1
5016,2396,1
5016,361,1
5016,6507,1
5016,4460,1
5016,6508,1
5016,4469,1
5016,4478,1
5016,4494,1
5016,6545,1
5016,6547,1
5016,421,1
5016,4521,1
5016,429,1
5016,4527,1
5016,438,1
5016,4545,1
5016,453,1
5016,4572,1
5016,4575,1
5016,483,1
5016,485,1
5016,6631,1
5016,4588,1
5016,4600,1
5016,504,1
5016,510,1
5016,518,1
5016,4615,1
5016,4620,1
5016,4625,1
5016,537,1
5016,4635,1
5016,547,1
5016,556,1
5016,4653,1
5016,4658,1
5016,4659,1
5016,6709,1
5016,4663,1
5016,4687,1
5016,4689,1
5016,4699,1
5016,4701,1
5016,6749,1
5016,6756,1
5016,4716,1
5016,6766,1
5016,4724,1
5016,6773,1
5016,6775,1
5016,4733,1
5016,6782,1
5016,6787,1
5016,6788,1
5016,6791,1
5016,4744,1
5016,656,1
5016,6803,1
5016,667,1
5016,668,1
5016,4763,1
5016,4768,1
5016,6821,1
5016,4776,1
5016,682,1
5016,685,1
5016,6838,1
5016,709,1
5016,2757,1
5016,2761,1
5016,4809,1
5016,2764,1
5016,4821,1
5016,2774,1
5016,2793,1
